time_s,V1,V2,V3,V4,V5,V6
0.000000,-0.006755,0.006952,0.030589,-0.029173,-0.023553,0.014247
0.000500,0.003885,-0.008538,0.003736,0.026866,-0.015103,-0.005710
0.001000,-0.028419,-0.015415,0.000334,0.005011,-0.014339,-0.014452
0.001500,-0.025568,0.008151,-0.006090,-0.006553,-0.015481,0.001122
0.002000,-0.008102,-0.000740,-0.015128,-0.007041,-0.008789,-0.017201
0.002500,-0.014834,-0.019730,-0.002557,0.002561,0.033366,0.009495
0.003000,0.005100,-0.022367,0.015002,0.016001,-0.012785,-0.010152
0.003500,-0.013207,-0.013967,0.000179,-0.022233,-0.023793,-0.023587
0.004000,-0.020743,0.027756,0.009596,-0.005572,0.007848,-0.053966
0.004500,0.022456,0.033670,0.026956,0.025280,0.004105,-0.001435
0.005000,-0.002886,0.003575,-0.008207,0.012869,0.033744,0.005311
0.005500,0.001543,0.002764,0.005073,0.011620,-0.000082,0.020596
0.006000,-0.020810,-0.004484,0.015627,0.006676,-0.033750,-0.025464
0.006500,-0.007573,-0.013425,-0.013401,0.005249,-0.005819,0.015730
0.007000,0.002288,0.021252,0.003295,-0.006398,-0.006085,-0.006683
0.007500,-0.016608,0.028761,0.028742,-0.007716,-0.017836,-0.000268
0.008000,0.006326,-0.012711,-0.004413,0.012783,-0.007749,0.000777
0.008500,-0.008285,-0.000518,0.016750,-0.007369,-0.001519,0.000569
0.009000,-0.003616,-0.005988,-0.001357,0.005017,-0.000153,-0.029735
0.009500,-0.008230,-0.005508,0.027790,0.003072,-0.019911,0.011533
0.010000,0.028617,0.018621,-0.023850,0.033711,0.009973,0.013350
0.010500,0.000668,-0.018809,0.001844,-0.001536,0.025409,0.015220
0.011000,-0.014957,0.007906,-0.021274,0.018435,0.005117,0.008221
0.011500,0.013286,0.011872,-0.009565,0.011558,0.017543,-0.002159
0.012000,-0.017324,-0.001144,-0.009614,-0.000770,0.003708,-0.021032
0.012500,0.004163,0.014426,-0.002975,-0.017630,-0.014667,0.007758
0.013000,-0.028323,0.003287,-0.016752,0.000278,0.005136,0.001650
0.013500,-0.018807,0.019373,0.000040,0.014604,-0.006423,0.001079
0.014000,0.004113,-0.021673,0.008067,-0.017212,-0.015481,0.007770
0.014500,0.012283,-0.004025,-0.021772,0.013742,0.000035,0.000529
0.015000,0.003824,0.000176,-0.008271,0.021396,0.013559,-0.005407
0.015500,-0.000433,-0.038782,0.039416,0.002741,-0.003808,-0.016398
0.016000,-0.003166,-0.014939,0.006289,0.015056,0.030450,0.001263
0.016500,-0.020776,-0.010803,-0.025865,0.003505,0.015665,0.023502
0.017000,-0.009344,0.015677,-0.019554,0.010024,-0.006764,-0.015086
0.017500,-0.005403,-0.009096,0.004895,0.023911,-0.007166,0.016554
0.018000,0.017419,-0.010709,0.003072,-0.021748,0.033733,0.012280
0.018500,0.006772,0.013880,-0.007194,-0.009860,-0.003426,-0.024064
0.019000,-0.024770,-0.022593,0.034576,0.020436,0.007139,0.010804
0.019500,0.006597,-0.029333,0.041016,0.023262,0.008062,0.002007
0.020000,-0.003980,-0.003628,-0.002169,-0.019323,-0.024062,0.000544
0.020500,-0.008295,-0.019857,0.014953,0.025293,-0.023804,0.031802
0.021000,0.011098,-0.019222,0.015771,-0.036659,0.014768,0.016043
0.021500,0.017454,0.010591,0.017827,0.011373,-0.013721,-0.011932
0.022000,0.016027,0.015197,-0.007544,0.005339,0.002235,0.011653
0.022500,-0.010461,0.013960,0.031219,-0.008870,-0.020524,-0.011626
0.023000,-0.002439,0.018830,0.001170,-0.007874,-0.002728,-0.010922
0.023500,0.007241,0.020889,0.008602,-0.007248,0.005479,0.004679
0.024000,0.016981,-0.029581,0.002379,-0.000714,-0.028554,0.019954
0.024500,-0.004762,0.009182,0.000331,0.032216,0.003237,-0.019883
0.025000,-0.000279,-0.005438,0.006682,0.014852,0.004144,-0.005051
